TransactionID,AccountID,Date,Amount,Type,Reference,Location
1,31,2024-02-21,9082.5,Deposit,8c718248-6235-41b0-b06e-7d2572de6c66,Jameston
2,87,2024-12-15,7509.68,Deposit,15ad962c-7655-4c73-a994-662d9d815393,Theresashire
3,70,2022-07-30,6045.12,Deposit,4e8cf763-e0c7-44e9-89cc-474586bc1a96,Nicoleborough
4,98,2023-01-22,1425.79,Deposit,d58e7f24-b4d3-460d-b88b-5b4b87fad4e6,Jenningsshire
5,88,2022-09-04,5687.2,Deposit,1cea46cd-2060-442e-9ba9-10d4a93597ee,Colliermouth
6,105,2022-05-27,9336.33,Withdrawal,9108ce18-4763-435a-9fcf-e79eaa327975,Brendabury
7,124,2022-03-02,3125.82,Deposit,abac157b-f5d3-4019-9bb6-eeebf9640421,West Joseph
8,127,2024-10-07,809.56,Withdrawal,60193b30-c929-4a74-9e27-bf88b2a10de5,North Cassieland
9,117,2024-09-15,6363.82,Withdrawal,7e51d1a0-8832-4dac-bcd6-495445385eae,New Emily
10,130,2022-07-31,2197.25,Withdrawal,d8209811-8d5d-467f-9ac2-a9a1b8a2436e,Nicoleport
11,72,2023-12-03,3789.33,Withdrawal,b12b4cda-46a7-43fe-b5ea-28cfc0491467,South Matthewburgh
12,74,2023-04-17,4399.37,Withdrawal,93c76c47-8f88-47de-9c89-324af4dbdc3f,Whitefort
13,55,2023-10-03,8768.58,Withdrawal,1d2b8e4b-edbf-4a86-bbae-d887d6c69675,New Howardhaven
14,26,2022-06-25,6038.79,Deposit,ba7e9dad-0ee7-4a68-a491-07ff250961e4,Martinezstad
15,120,2022-01-11,486.41,Deposit,44dfbda3-a21b-4ed5-b78a-be1d7c78b7af,Cruzville
16,32,2023-06-23,7063.73,Withdrawal,09355885-79cc-49ec-b656-d87d78901a47,West Jasonfort
17,34,2024-09-04,7081.45,Withdrawal,539cd217-5e5c-42d0-a3ca-d956d0e7e9e5,South Danielborough
18,42,2023-10-05,8896.38,Withdrawal,eb234074-4c39-4cae-b7df-473629b038d5,Brownshire
19,100,2022-07-16,5955.62,Withdrawal,9d4d995a-7939-407b-a8a5-4bbf78675f2c,New Robertborough
20,27,2025-01-21,9977.19,Withdrawal,5f954983-217e-4354-a225-0a4fdc2ed174,Carolfort
21,91,2023-06-18,2993.14,Withdrawal,37fe2c5f-4974-442b-9274-b4c107013fc7,Marilynfurt
22,134,2022-12-08,4615.77,Withdrawal,b43b2d78-56c5-49f6-91f5-5a8983967863,Bettyshire
23,118,2022-10-05,7420.86,Deposit,c6ee7fe2-70a4-4d38-a714-947c1c018885,Bishopville
24,51,2023-03-08,2949.09,Withdrawal,333bc4f2-5913-42e5-9db4-a9653e5d4a23,Adamsstad
25,96,2022-05-22,1054.7,Withdrawal,5ff2689a-014a-493c-8fd6-e97574bc3f60,Ramirezbury
26,87,2025-01-13,6416.21,Withdrawal,da983162-e99b-43b4-9077-a14a26e6e4c2,Priceberg
27,12,2024-04-17,2947.93,Deposit,b9a59d5b-8f55-4e55-8058-92592cf114cd,Olsonmouth
28,35,2024-12-26,4113.65,Withdrawal,7d925355-3adc-4e9a-ad8f-c4a7417db4d1,Allenberg
29,81,2024-06-08,8245.52,Withdrawal,dc3e71f1-0f02-4911-a0bc-242b719e5607,Garyborough
30,82,2025-02-11,8970.05,Withdrawal,cafb1ccb-1484-49f1-a0be-b08a6afaa4d7,Desireeside
31,142,2022-09-10,2807.11,Withdrawal,d93871e3-533a-4d48-93b8-92666cedf123,Brianview
32,91,2023-09-09,1192.61,Withdrawal,fc2c8040-eb51-479b-b5ad-00679f3b17ed,North Seanshire
33,3,2022-05-01,9201.14,Deposit,a251a740-6e5f-44b8-9702-3df77652eff1,Christymouth
34,136,2023-06-28,1035.15,Withdrawal,57643a57-c74f-4e4a-8df5-554e29245769,Brandystad
35,114,2024-01-13,1208.44,Deposit,d245da2d-694b-400f-8d3d-fd75ed30bdc0,Matthewside
36,110,2023-10-17,7277.13,Withdrawal,8912cb75-c39c-411a-87ec-f18fcc7481a7,New Nicoleburgh
37,29,2025-01-18,2295.72,Deposit,45619c9c-380d-4f96-9d6c-020674e55a74,Harrellstad
38,48,2024-08-14,1736.36,Withdrawal,dd250f0b-2d7d-4930-b3dc-a959da968838,Port Julie
39,121,2022-03-05,4009.88,Deposit,44ebf0c9-0cfb-4d85-962a-758a82dc5b2b,South Joyton
40,116,2023-02-01,5374.39,Deposit,6848e7eb-4585-493c-961d-c1b21b474619,South Monica
41,115,2024-08-16,1068.93,Deposit,6d458cc8-d4f2-457e-a435-497c50d85e4f,South Autumnfurt
42,98,2024-01-28,2767.18,Withdrawal,2569922c-f7d2-4700-9a86-6b4dcb0df483,Johnburgh
43,27,2022-01-22,8367.79,Deposit,830ef8de-91ab-481b-a0a1-d952ff82a891,Christophertown
44,54,2022-06-19,4733.33,Withdrawal,00847f07-d274-4d4f-9dbb-e800750c91ce,Davidmouth
45,142,2023-06-01,9694.35,Withdrawal,526ef8ec-54fa-456d-8a1d-dfe0cc60fe39,Port Antonio
46,28,2023-01-14,2572.53,Withdrawal,6d2a83a8-ee28-4c6d-9acf-3903ef0f2458,Lake Ricardo
47,51,2023-10-13,844.53,Deposit,eb120588-37ae-44fd-848c-32769c3f458b,Savageport
48,67,2023-03-29,3622.73,Deposit,2c2413b2-176a-4c98-a229-7ab8e73ea8bc,Amandachester
49,13,2022-01-20,7776.5,Withdrawal,eb83748b-d936-4b4e-97b3-439c7584f840,East Justin
50,85,2022-09-13,671.78,Withdrawal,3a3cf68a-3bc6-4390-8ac5-af2d004d688a,Lake Justinchester
51,91,2024-07-20,3341.43,Deposit,e9d20fd9-41df-48f2-a96a-a9acf49fb2ca,Sharonville
52,57,2022-09-21,8607.78,Deposit,fcc57605-8f17-4c53-8604-51ae6e1441f9,Lake Debra
53,54,2023-12-13,8818.17,Withdrawal,8a4b3ed2-de65-4700-ada5-32cc67aff738,Gordonstad
54,2,2023-08-03,211.06,Withdrawal,9916ec0d-51c7-48c8-9106-b345dba7255c,Jenniferhaven
55,140,2022-09-28,3897.62,Withdrawal,353f7caf-2db8-45bb-97a3-3739e785cbd4,Michaelburgh
56,47,2024-07-24,4177.91,Withdrawal,f2a41b84-9b44-4526-8487-61c5ff29abf1,Abigailtown
57,10,2024-12-24,4970.7,Withdrawal,9875d7fd-3926-4b5f-8d60-c819dbb02c01,Natalieburgh
58,69,2022-11-22,4068.99,Withdrawal,daa76570-a5f8-4ec5-920a-58b7197150d0,Port Caroline
59,66,2022-05-27,6060.39,Withdrawal,bab33ffe-86e4-4770-8765-1a420e45fe92,Millsborough
60,5,2023-06-07,9798.01,Withdrawal,ae64e752-f32c-45ae-b922-ca6430046304,Tammyton
61,121,2022-01-08,1487.25,Withdrawal,58a1a870-83b7-4dff-bfd2-bc68b0a648eb,Brendaburgh
62,108,2023-06-06,5636.0,Withdrawal,ac59ab5a-7d87-42bf-b76d-3053e23e8d23,Stephanieshire
63,110,2024-03-06,3191.81,Deposit,69acc165-f5a6-4ace-9611-29872e9456e9,Port Noah
64,80,2024-04-21,6265.1,Withdrawal,6113403f-3d3b-49b3-8661-6ea22f407308,Catherineburgh
65,45,2023-08-20,6651.37,Withdrawal,38b96508-66fd-4c30-b5be-efe87fbef0e5,Garciaborough
66,55,2022-02-22,6067.96,Deposit,d8031b54-b985-490e-8c0c-75f0689db744,Colleenland
67,123,2024-05-31,923.91,Deposit,25c21dd2-3955-4235-83ff-97f72aef7958,South Jeffreyborough
68,4,2023-09-04,4739.19,Withdrawal,1890f68c-18d6-427d-8bbe-56a6b89818a2,South Robert
69,51,2022-02-12,7928.78,Withdrawal,4028181c-9eee-4810-b9c2-3126f0ff2be1,New Cynthia
70,94,2022-10-13,2722.61,Withdrawal,f82db4f6-95e4-4ef2-908e-962ce6f98533,South Kelly
71,88,2023-11-27,8783.33,Deposit,94aa7999-61ae-4b50-9bb2-3c7326282715,Rowlandbury
72,44,2023-06-24,2184.06,Withdrawal,35f92340-a83a-4ba5-bded-42ea3c8a889d,Port Charles
73,141,2022-09-19,2959.33,Withdrawal,619fc212-0dbc-4111-b6cd-d86cc325baa6,Port Jenniferborough
74,21,2022-03-14,6145.64,Withdrawal,343494d7-882e-45fd-a887-8162a0a50cb0,North Michelle
75,32,2022-05-01,623.57,Withdrawal,9f3813ab-264c-4c2c-ae49-f11bf9994881,Lake Jonathon
76,87,2024-02-16,847.16,Withdrawal,14390c6f-9175-428e-ae90-18b24ce6f79a,Lake Zacharyville
77,68,2022-10-04,6979.08,Deposit,5f397294-e65f-477c-9201-1ee5c63ec4e8,New Bradstad
78,147,2022-02-19,6189.87,Withdrawal,c7f53336-f291-45b9-bdcc-7efa077e953b,Jeannehaven
79,86,2024-11-28,6011.77,Withdrawal,945a5d75-ff10-4084-9203-190b9e2e1781,Knightfurt
80,78,2025-04-10,6628.0,Withdrawal,23f5c8b3-0781-40f1-89e8-84c3cd64ebe0,Charlesside
81,68,2025-04-24,2043.94,Deposit,10092bb5-8866-4a50-a8bb-8498cd8c3a01,Davidtown
82,34,2022-03-02,3200.43,Withdrawal,7b9ae9b2-624d-4358-9d84-8f62b2ef2947,Lunaton
83,32,2022-07-24,9959.99,Deposit,8fff4c39-9f26-49d5-bdfe-a1df66e22eca,Juliemouth
84,150,2023-04-15,8101.58,Deposit,23329f01-aa23-4738-b25d-e1f5f81a7902,Powersstad
85,63,2022-01-20,6529.51,Deposit,4937cfab-1e65-4653-b960-8043e34c737e,Debrabury
86,147,2024-12-05,2892.54,Withdrawal,7933b6a4-b459-4403-8f00-4a44153ca358,Sandovalhaven
87,39,2024-05-19,3491.86,Withdrawal,df497e0c-a3f4-4c03-9671-ce7ee48e70a5,Port Maryfurt
88,60,2024-08-14,1842.98,Deposit,3f308afb-35f0-4ce5-bcb3-19131095e6af,Lopezfort
89,51,2022-04-19,2562.51,Withdrawal,fb84f97a-0b94-4880-8059-0ea84355883d,Veronicatown
90,80,2023-01-19,4281.4,Deposit,bf838f9c-9034-4e30-9bdd-3bd9b65cdab7,South Rodneyshire
91,109,2022-03-11,6143.21,Withdrawal,44418287-b98e-4fdd-b674-529d127469f5,North Chris
92,118,2023-06-07,5272.98,Withdrawal,2d15b6f5-1758-4a0a-924c-4099328552a8,Chandlerport
